dotx,transient_counts,cdt,traial_start,key_press_list
3.125,12,4.477777719497681,1539925871.882237,"[1.174682855606079, 0.6278257369995117, 0.9794881343841553, 0.5120391845703125, 0.4440889358520508, 0.7396528720855713]"
0.0,8,1.4153649806976318,1539925936.639969,"[0.26755475997924805, 0.12393498420715332, 0.42765212059020996, 0.5962231159210205]"
6.25,10,2.6218795776367188,1539926015.776224,"[0.14774799346923828, 0.682974100112915, 0.5121569633483887, 0.6995782852172852, 0.5794222354888916]"
12.5,6,3.371121883392334,1539926160.321501,"[1.5395698547363281, 1.3876819610595703, 0.44387006759643555]"
25.0,2,0.5794620513916016,1539926237.202754,[0.5794620513916016]
25.0,4,0.8555939197540283,1539926305.428394,"[0.6919369697570801, 0.16365694999694824]"
3.125,12,5.150920629501343,1539926371.0880919,"[0.24364805221557617, 0.3799629211425781, 1.858922004699707, 0.5956408977508545, 0.46738290786743164, 1.6053638458251953]"
6.25,6,1.4232652187347412,1539926439.918436,"[0.12366104125976562, 0.12346816062927246, 1.1761360168457031]"
12.5,6,2.0664877891540527,1539926511.441665,"[0.18752574920654297, 1.7315080165863037, 0.14745402336120605]"
0.0,8,2.094250202178955,1539926577.838956,"[0.13974213600158691, 1.6995410919189453, 0.10766005516052246, 0.1473069190979004]"
6.25,6,4.652501821517944,1539926643.109931,"[2.1093368530273438, 0.73142409324646, 1.8117408752441406]"
3.125,10,3.502026081085205,1539926707.319653,"[0.8475699424743652, 1.043529987335205, 0.9079670906066895, 0.16327404975891113, 0.5396850109100342]"
0.0,6,2.256427049636841,1539926777.5330188,"[1.5112709999084473, 0.10173678398132324, 0.6434192657470703]"
12.5,6,1.9073069095611572,1539926843.5088818,"[0.14778804779052734, 0.7156999111175537, 1.0438189506530762]"
25.0,4,1.446991205215454,1539926953.975146,"[1.0352299213409424, 0.4117612838745117]"
