cdt,dotx,key_press_list,traial_start,transient_counts
3.64215803146,0.0,"[0.20858001708984375, 0.3075881004333496, 0.14760303497314453, 0.5395550727844238, 0.1797008514404297, 0.2834348678588867, 0.12378811836242676, 0.49218010902404785, 0.5555970668792725, 0.8041307926177979]",1525864317.79,20
6.95704698563,3.125,"[0.27562594413757324, 0.6197259426116943, 0.5717260837554932, 0.20359396934509277, 0.5479550361633301, 0.3476409912109375, 0.23587393760681152, 0.5478420257568359, 1.1394498348236084, 0.4677770137786865, 1.9998362064361572]",1525864388.9,21
0.694947242737,25.0,"[0.14739322662353516, 0.5475540161132812]",1525864470.01,4
7.58668279648,6.25,"[1.4596669673919678, 1.0275359153747559, 1.9158728122711182, 1.083806037902832, 1.443485975265503, 0.6563150882720947]",1525864537.52,11
7.90665316582,12.5,"[0.9792079925537109, 1.4038701057434082, 1.235718011856079, 1.1844489574432373, 1.23563814163208, 1.8677699565887451]",1525864665.28,12
5.68559408188,3.125,"[0.5478520393371582, 0.7644128799438477, 0.3478970527648926, 0.3716850280761719, 0.4918649196624756, 0.5474779605865479, 0.6198270320892334, 0.4916040897369385, 0.13158416748046875, 1.3713889122009277]",1525864730.83,20
8.37001395226,6.25,"[0.3713970184326172, 0.6718611717224121, 0.2756681442260742, 0.24381685256958008, 1.491654872894287, 1.059640884399414, 1.1075730323791504, 0.48357295989990234, 2.6648290157318115]",1525864806.76,17
8.63451218605,0.0,"[1.2685880661010742, 1.755450963973999, 0.3397948741912842, 1.3155810832977295, 0.5397350788116455, 0.44356799125671387, 1.1850171089172363, 0.8757281303405762, 0.37182092666625977, 0.5392279624938965]",1525864873.4,19
3.89399003983,12.5,"[0.9874489307403564, 1.2113311290740967, 1.4674839973449707, 0.22772598266601562]",1525864955.23,8
3.28735232353,25.0,"[1.7068569660186768, 0.8486530780792236, 0.05174612998962402, 0.6800961494445801]",1525865021.9,8
4.33752632141,12.5,"[1.4193081855773926, 0.1876840591430664, 0.5031940937042236, 0.5308220386505127, 0.5958249568939209, 1.1006929874420166]",1525865094.96,12
7.43024992943,3.125,"[1.195932149887085, 1.1477301120758057, 1.9557218551635742, 0.5236268043518066, 1.6196630001068115, 0.9875760078430176]",1525865173.82,12
7.67026662827,6.25,"[0.3156750202178955, 0.7316241264343262, 0.18769097328186035, 0.8513422012329102, 0.3718700408935547, 0.379472017288208, 0.37131190299987793, 1.1394600868225098, 1.610962152481079, 0.4594731330871582, 1.251384973526001]",1525865284.9,22
2.92918014526,25.0,"[0.2992691993713379, 0.17183399200439453, 0.1239628791809082, 0.547605037689209, 1.3631911277770996, 0.12363100051879883, 0.29968690872192383]",1525865358.05,14
10.2001817226,0.0,"[0.46933484077453613, 0.6916849613189697, 0.37135791778564453, 0.9392881393432617, 1.0675709247589111, 0.6358661651611328, 0.48359203338623047, 0.1959230899810791, 1.1155009269714355, 0.41935205459594727, 1.0277519226074219, 1.5312838554382324, 1.2516748905181885]",1525865422.33,26
